Jack, iphone, 2016-11-11 00:00:01, 1
Jack, ipad, 2016-11-11 00:00:02, 4
Jack, iwatch, 2016-11-11 00:00:03, 5
Jack, ipod, 2016-11-11 00:00:04, 4
Jack, huawei, 2016-11-11 00:00:10, 2

Lily, ipad, 2016-11-11 00:00:06, 1
Lily, iwatch, 2016-11-11 00:00:07, 4
Lily, iphone, 2016-11-11 00:00:08, 2
Lily, ipod, 2016-11-11 00:00:09, 3
Lily, huawei, 2016-11-11 00:00:22, 1

Mike, ipad, 2016-11-11 00:00:11, 2
Mike, iwatch, 2016-11-11 00:00:12, 3
Mike, iphone, 2016-11-11 00:00:13, 1
Mike, ipod, 2016-11-11 00:00:14, 3
Mike, huawei, 2016-11-11 00:00:24, 1

Lucy, ipod, 2016-11-11 00:00:16, 3
Lucy, ipad, 2016-11-11 00:00:17, 4
Lucy, iwatch, 2016-11-11 00:00:18, 3
Lucy, iphone, 2016-11-11 00:00:19, 1
Lucy, huawei, 2016-11-11 00:00:20, 2

